player,team_home,shot_type,situation,body_part,x,y,xg,minute
Christian Nørgaard,True,save,corner,head,4.5,64.6,0.015194706618786,90
Ibrahim Maza,False,miss,corner,right-foot,19.7,65.0,0.019121868535876,88
Christian Kofane,False,save,assisted,left-foot,10.5,55.2,0.22223748266697,87
Christian Kofane,False,miss,assisted,right-foot,24.6,63.6,0.023583922535181,85
Bukayo Saka,True,save,assisted,right-foot,10.1,72.6,0.033325124531984,78
Jarell Quansah,False,miss,assisted,head,10.2,57.0,0.043322160840034,77
Bukayo Saka,True,save,assisted,head,2.4,59.6,0.14708709716797,71
Eberechi Eze,True,block,fast-break,left-foot,13.3,45.6,0.23715986311436,68
Christian Kofane,False,miss,assisted,head,7.4,42.1,0.071410186588764,66
Declan Rice,True,goal,regular,right-foot,18.8,50.7,0.073276177048683,63
Viktor Gyökeres,True,block,fast-break,left-foot,12.9,34.6,0.074964888393879,62
Robert Andrich,False,miss,assisted,right-foot,27.9,59.3,0.016924319788814,57
Ibrahim Maza,False,block,assisted,right-foot,13.8,55.3,0.074801206588745,54
Viktor Gyökeres,True,save,regular,right-foot,25.9,50.1,0.03838374465704,52
Bukayo Saka,True,block,assisted,left-foot,16.4,69.7,0.018971920013428,52
Leandro Trossard,True,miss,assisted,right-foot,22.9,43.8,0.036202050745487,49
Eberechi Eze,True,goal,assisted,right-foot,21.4,38.5,0.023005878552794,36
Edmond Tapsoba,False,save,corner,head,10.8,41.9,0.014521385543048,33
Ben White,True,miss,corner,right-foot,4.8,51.7,0.29057934880257,32
Leandro Trossard,True,save,corner,right-foot,19.4,66.9,0.023594593629241,32
Eberechi Eze,True,block,corner,right-foot,18.7,52.6,0.038145132362843,30
Leandro Trossard,True,save,assisted,right-foot,8.3,60.9,0.14908365905285,29
Bukayo Saka,True,save,assisted,right-foot,11.7,70.3,0.037010721862316,27
Bukayo Saka,True,save,throw-in-set-piece,head,9.5,46.2,0.072913251817226,24
Declan Rice,True,save,free-kick,right-foot,7.7,18.4,0.038468103855848,23
Gabriel Magalhães,True,miss,corner,head,4.0,53.2,0.184340685606,21
Leandro Trossard,True,save,assisted,right-foot,15.8,55.2,0.097745902836323,15
Leandro Trossard,True,miss,assisted,left-foot,22.3,57.3,0.041704934090376,15
Exequiel Palacios,False,block,assisted,right-foot,26.5,51.5,0.033910628408194,10
Gabriel Magalhães,True,miss,corner,other,3.9,58.3,0.077241316437721,9
